uniprot_id,protein_name,gene,organism,source
P91349,Spindle-defective protein 5,spd-5;F56A3.4,Caenorhabditis elegans,llps_natural
P34331-2,Serine/threonine-protein kinase plk-1;Polo-like kinase 1,plk-1;plc1;C14B9.4,Caenorhabditis elegans,llps_natural
P91870,Spindle-defective protein 2,spd-2;F32H2.3,Caenorhabditis elegans,llps_natural
G5EDE7,TPX2 (Targeting Protein for Xenopus Klp2)-Like;TPX2-related alternative variant a,tpxl-1;1C866;CELE_Y39G10AR.12;Y39G10AR.12,Caenorhabditis elegans,llps_natural
Q9P805,mRNA-decapping enzyme subunit 1,dcp1;SPBC3B9.21,Schizosaccharomyces pombe,llps_natural
P51991,Heterogeneous nuclear ribonucleoprotein A3,HNRNPA3;HNRPA3,Homo sapiens,llps_natural
Q9TXM1,Uncharacterized protein,meg-3;gei-12;CELE_F52D2.4;F52D2.4,Caenorhabditis elegans,llps_natural
Q9XUB2,Zinc finger protein mex-5,mex-5;W02A2.7,Caenorhabditis elegans,llps_natural
Q99873,Protein arginine N-methyltransferase 1;Histone-arginine N-methyltransferase PRMT1;Interferon receptor 1-bound protein 4,PRMT1;HMT2;HRMT1L2;IR1B4,Homo sapiens,llps_natural
O00410,Importin-5;Importin subunit beta-3;Karyopherin beta-3;Ran-binding protein 5,IPO5;KPNB3;RANBP5,Homo sapiens,llps_natural
Q01844,RNA-binding protein EWS;EWS oncogene;Ewing sarcoma breakpoint region 1 protein,EWSR1;EWS,Homo sapiens,llps_natural
Q92804-2,TATA-binding protein-associated factor 2N;68 kDa TATA-binding protein-associated factor;RNA-binding protein 56,TAF15;RBP56;TAF2N,Homo sapiens,llps_natural
Q92973,Transportin-1;Importin beta-2;Karyopherin beta-2;M9 region interaction protein,TNPO1;KPNB2;MIP1;TRN,Homo sapiens,llps_natural
P0A9A6,Cell division protein FtsZ,ftsZ;sfiB;sulB;b0095;JW0093,Escherichia coli,llps_natural
P04050,DNA-directed RNA polymerase II subunit RPB1;DNA-directed RNA polymerase III largest subunit;RNA polymerase II subunit B220,RPO21;RPB1;RPB220;SUA8;YDL140C;D2150,Saccharomyces cerevisiae,llps_natural
P16753-2,Capsid scaffolding protein;Protease precursor,UL80;APNG,Homo sapiens,llps_natural
P19622,Homeobox protein engrailed-2,EN2,Homo sapiens,llps_natural
P04156,Major prion protein;ASCR;PrP27-30;PrP33-35C,PRNP;ALTPRP;PRIP;PRP,Homo sapiens,llps_natural
P06241,Tyrosine-protein kinase Fyn;Proto-oncogene Syn;Proto-oncogene c-Fyn;Src-like kinase;p59-Fyn,FYN,Homo sapiens,llps_natural
Q06851,Cellulosomal-scaffolding protein A;Cellulose-integrating protein A;Cellulosomal glycoprotein S1/SL;Cohesin,cipA;Cthe_3077,Clostridium thermocellum,llps_natural
Q16987,Fibroin-3,ADF-3,Araneus diadematus,llps_natural
O43791,Speckle-type POZ protein;HIB homolog 1;Roadkill homolog 1,SPOP,Homo sapiens,llps_natural
Q9UER7,Death domain-associated protein 6;Daxx;ETS1-associated protein 1;Fas death domain-associated protein,DAXX;BING2;DAP6,Homo sapiens,llps_natural
P10275,Androgen receptor;Dihydrotestosterone receptor;Nuclear receptor subfamily 3 group C member 4,AR;DHTR;NR3C4,Homo sapiens,llps_natural
P39517,ATP-dependent RNA helicase DHH1;DExD/H-box helicase 1,DHH1;YDL160C,Saccharomyces cerevisiae,llps_natural
P25655,General negative regulator of transcription subunit 1;Cell division cycle protein 39,CDC39;NOT1;ROS1;YCR093W;YCR1151;YCR93W,Saccharomyces cerevisiae,llps_natural
P42212,Green fluorescent protein,GFP,Aequorea victoria,llps_natural
Q9A749,Ribonuclease E,rne;CC_1877,Caulobacter vibrioides,llps_natural
Q9TZQ3,Guanyl-specific ribonuclease pgl-1;P granule abnormality protein 1,pgl-1;ZK381.4,Caenorhabditis elegans,llps_natural
