uniprot_id,protein_name,gene_names,organism,source
Q9NZB2,Constitutive coactivator of PPAR-gamma-like protein 1,FAM120A C9orf10 KIAA0183 OSSA,Homo sapiens,phasepdb
Q9NZM5,Ribosome biogenesis protein NOP53,NOP53 GLT GLTSCR2 PICT1,Homo sapiens,phasepdb
Q9P0U3,Sentrin-specific protease 1,SENP1,Homo sapiens,phasepdb
Q9P202,Whirlin,WHRN DFNB31 KIAA1526,Homo sapiens,phasepdb
Q9UBK2,Peroxisome proliferator-activated receptor gamma coactivator 1-alpha,PPARGC1A LEM6 PGC1 PGC1A PPARGC1,Homo sapiens,phasepdb
Q9UBT2,SUMO-activating enzyme subunit 2,UBA2 SAE2 UBLE1B,Homo sapiens,phasepdb
Q9UDY2,Tight junction protein 2,TJP2 X104 ZO2,Homo sapiens,phasepdb
Q9UDY8,Mucosa-associated lymphoid tissue lymphoma translocation protein 1,MALT1 MLT,Homo sapiens,phasepdb
Q9UGP4,LIM domain-containing protein 1,LIMD1,Homo sapiens,phasepdb
Q9UHR4,BAR/IMD domain-containing adapter protein 2-like 1,BAIAP2L1 IRTKS,Homo sapiens,phasepdb
Q9UHY1,Nuclear receptor-binding protein,NRBP1 BCON3 NRBP,Homo sapiens,phasepdb
Q9UIS9,Methyl-CpG-binding domain protein 1,MBD1 CXXC3 PCM1,Homo sapiens,phasepdb
Q9UJA2,Cardiolipin synthase (CMP-forming),CRLS1 C20orf155 CLS1,Homo sapiens,phasepdb
Q9UJY1,Heat shock protein beta-8,HSPB8 CRYAC E2IG1 HSP22,Homo sapiens,phasepdb
Q9UM73,ALK tyrosine kinase receptor,ALK,Homo sapiens,phasepdb
Q9UMQ5,,N-myc,Homo sapiens,phasepdb
Q9UNE7,E3 ubiquitin-protein ligase CHIP,STUB1 CHIP,Homo sapiens,phasepdb
Q9UNQ2,Dimethyladenosine transferase,DIMT1 DIMT1L,Homo sapiens,phasepdb
Q9UPQ9,Trinucleotide repeat-containing gene 6B protein,TNRC6B KIAA1093,Homo sapiens,phasepdb
Q9UPY8,Microtubule-associated protein RP/EB family member 3,MAPRE3,Homo sapiens,phasepdb
Q9UQB8,BAR/IMD domain-containing adapter protein 2,BAIAP2,Homo sapiens,phasepdb
Q9Y232,Chromodomain Y-like protein,CDYL CDYL1,Homo sapiens,phasepdb
Q9Y255,"PRELI domain-containing protein 1, mitochondrial",PRELID1 PRELI,Homo sapiens,phasepdb
Q9Y272,Dexamethasone-induced Ras-related protein 1,RASD1 AGS1 DEXRAS1,Homo sapiens,phasepdb
Q9Y2J0,Rabphilin-3A,RPH3A KIAA0985,Homo sapiens,phasepdb
